"Nome da Conta","Company","Parent Account","Account Number","Account Type","É grupo","Root Type"
"Ativo Circulante","DM-CASA","ATIVO - D-CASA","1100","","1","Asset"
"Ativo Não Circulante","DM-CASA","ATIVO - D-CASA","1200","","1","Asset"
"Passivo Circulante","DM-CASA","PASSIVO - D-CASA","2100","","1","Liability"
"Passivo Não Circulante","DM-CASA","PASSIVO - D-CASA","2200","","1","Liability"
"Capital","DM-CASA","SUPERÁVIT/DÉFICIT LÍQUIDO DO PERÍODO - D-CASA","3100","Equity","0","Equity"
"Lucros/Prejuízos Acumulados","DM-CASA","SUPERÁVIT/DÉFICIT LÍQUIDO DO PERÍODO - D-CASA","3200","Equity","0","Equity"
"Receitas do Trabalho","DM-CASA","RESULTADO LÍQUIDO DO PERÍODO - D-CASA","4100","","1","Income"
"Receitas de Investimentos","DM-CASA","RESULTADO LÍQUIDO DO PERÍODO - D-CASA","4200","","1","Income"
"Outras Receitas","DM-CASA","RESULTADO LÍQUIDO DO PERÍODO - D-CASA","4300","","1","Income"
"Despesas Fixas","DM-CASA","CUSTOS DE PRODUÇÃO - D-CASA","5100","","1","Expense"
"Despesas Variáveis","DM-CASA","CUSTOS DE PRODUÇÃO - D-CASA","5200","","1","Expense"
"Lazer e Entretenimento","DM-CASA","CUSTOS DE PRODUÇÃO - D-CASA","5300","","1","Expense"
"Despesas Financeiras","DM-CASA","CUSTOS DE PRODUÇÃO - D-CASA","5400","","1","Expense"
"Outras Despesas","DM-CASA","CUSTOS DE PRODUÇÃO - D-CASA","5500","","1","Expense"
