"Nome da Conta","Company","Parent Account","Account Number","Account Type","É grupo","Root Type"
"Caixa","DM-CASA","Caixa e Equivalentes","1111","Cash",0,"Asset"
"Banco - Conta Corrente","DM-CASA","Caixa e Equivalentes","1112","Bank",0,"Asset"
"Banco - Conta Poupança","DM-CASA","Caixa e Equivalentes","1113","Bank",0,"Asset"
"Banco - Conta Investimentos","DM-CASA","Caixa e Equivalentes","1114","Bank",0,"Asset"
"Carteira Digital","DM-CASA","Caixa e Equivalentes","1115","Bank",0,"Asset"
"Tesouro Direto","DM-CASA","Investimentos Curto Prazo","1121","Current Asset",0,"Asset"
"CDB","DM-CASA","Investimentos Curto Prazo","1122","Current Asset",0,"Asset"
"LCI/LCA","DM-CASA","Investimentos Curto Prazo","1123","Current Asset",0,"Asset"
"Fundos de Investimento","DM-CASA","Investimentos Curto Prazo","1124","Current Asset",0,"Asset"
"Empréstimos a Receber","DM-CASA","Contas a Receber","1131","Receivable",0,"Asset"
"Valores a Receber","DM-CASA","Contas a Receber","1132","Receivable",0,"Asset"
"Ações","DM-CASA","Investimentos Longo Prazo","1211","Current Asset",0,"Asset"
"Fundos Imobiliários (FII)","DM-CASA","Investimentos Longo Prazo","1212","Current Asset",0,"Asset"
"Previdência Privada","DM-CASA","Investimentos Longo Prazo","1213","Current Asset",0,"Asset"
"Investimentos Internacionais","DM-CASA","Investimentos Longo Prazo","1214","Current Asset",0,"Asset"
"Imóveis","DM-CASA","Imobilizado","1221","Fixed Asset",0,"Asset"
"Veículos","DM-CASA","Imobilizado","1222","Fixed Asset",0,"Asset"
"Móveis e Eletrodomésticos","DM-CASA","Imobilizado","1223","Fixed Asset",0,"Asset"
"Eletrônicos","DM-CASA","Imobilizado","1224","Fixed Asset",0,"Asset"
"Cartão de Crédito","DM-CASA","Contas a Pagar","2111","Current Liability",0,"Liability"
"Fornecedores","DM-CASA","Contas a Pagar","2112","Payable",0,"Liability"
"Contas de Consumo","DM-CASA","Contas a Pagar","2113","Current Liability",0,"Liability"
"Empréstimo Pessoal","DM-CASA","Empréstimos Curto Prazo","2121","Current Liability",0,"Liability"
"Cheque Especial","DM-CASA","Empréstimos Curto Prazo","2122","Current Liability",0,"Liability"
"Crédito Consignado","DM-CASA","Empréstimos Curto Prazo","2123","Current Liability",0,"Liability"
"IPTU","DM-CASA","Impostos a Pagar","2131","Tax",0,"Liability"
"IPVA","DM-CASA","Impostos a Pagar","2132","Tax",0,"Liability"
"Imposto de Renda","DM-CASA","Impostos a Pagar","2133","Tax",0,"Liability"
"Financiamento Imobiliário","DM-CASA","Financiamentos Longo Prazo","2211","Current Liability",0,"Liability"
"Financiamento de Veículo","DM-CASA","Financiamentos Longo Prazo","2212","Current Liability",0,"Liability"
"Consórcio","DM-CASA","Financiamentos Longo Prazo","2213","Current Liability",0,"Liability"
"Salário","DM-CASA","Receitas do Trabalho","4101","Income Account",0,"Income"
"13º Salário","DM-CASA","Receitas do Trabalho","4102","Income Account",0,"Income"
"Férias","DM-CASA","Receitas do Trabalho","4103","Income Account",0,"Income"
"Horas Extras","DM-CASA","Receitas do Trabalho","4104","Income Account",0,"Income"
"Bônus e Gratificações","DM-CASA","Receitas do Trabalho","4105","Income Account",0,"Income"
"PLR (Participação nos Lucros)","DM-CASA","Receitas do Trabalho","4106","Income Account",0,"Income"
"Juros de Investimentos","DM-CASA","Receitas de Investimentos","4201","Income Account",0,"Income"
"Dividendos","DM-CASA","Receitas de Investimentos","4202","Income Account",0,"Income"
"Rendimento de Poupança","DM-CASA","Receitas de Investimentos","4203","Income Account",0,"Income"
"Aluguéis Recebidos","DM-CASA","Receitas de Investimentos","4204","Income Account",0,"Income"
"Venda de Bens","DM-CASA","Outras Receitas","4301","Income Account",0,"Income"
"Trabalho Freelance","DM-CASA","Outras Receitas","4302","Income Account",0,"Income"
"Restituição de Imposto","DM-CASA","Outras Receitas","4303","Income Account",0,"Income"
"Presentes Recebidos","DM-CASA","Outras Receitas","4304","Income Account",0,"Income"
"Reembolsos","DM-CASA","Outras Receitas","4305","Income Account",0,"Income"
"Aluguel","DM-CASA","Moradia","5111","Expense Account",0,"Expense"
"Condomínio","DM-CASA","Moradia","5112","Expense Account",0,"Expense"
"IPTU","DM-CASA","Moradia","5113","Expense Account",0,"Expense"
"Prestação do Imóvel","DM-CASA","Moradia","5114","Expense Account",0,"Expense"
"Prestação do Veículo","DM-CASA","Transporte","5121","Expense Account",0,"Expense"
"IPVA","DM-CASA","Transporte","5122","Expense Account",0,"Expense"
"Seguro do Veículo","DM-CASA","Transporte","5123","Expense Account",0,"Expense"
"Licenciamento","DM-CASA","Transporte","5124","Expense Account",0,"Expense"
"Estacionamento Mensal","DM-CASA","Transporte","5125","Expense Account",0,"Expense"
"Energia Elétrica","DM-CASA","Utilidades Domésticas","5131","Expense Account",0,"Expense"
"Água e Esgoto","DM-CASA","Utilidades Domésticas","5132","Expense Account",0,"Expense"
"Gás","DM-CASA","Utilidades Domésticas","5133","Expense Account",0,"Expense"
"Internet","DM-CASA","Utilidades Domésticas","5134","Expense Account",0,"Expense"
"Telefone Fixo","DM-CASA","Utilidades Domésticas","5135","Expense Account",0,"Expense"
"Telefone Celular","DM-CASA","Utilidades Domésticas","5136","Expense Account",0,"Expense"
"TV a Cabo/Streaming","DM-CASA","Utilidades Domésticas","5137","Expense Account",0,"Expense"
"Seguro Residencial","DM-CASA","Seguros","5141","Expense Account",0,"Expense"
"Seguro de Vida","DM-CASA","Seguros","5142","Expense Account",0,"Expense"
"Seguro Saúde","DM-CASA","Seguros","5143","Expense Account",0,"Expense"
"Seguro Odontológico","DM-CASA","Seguros","5144","Expense Account",0,"Expense"
"Supermercado","DM-CASA","Alimentação","5211","Expense Account",0,"Expense"
"Feira","DM-CASA","Alimentação","5212","Expense Account",0,"Expense"
"Padaria","DM-CASA","Alimentação","5213","Expense Account",0,"Expense"
"Açougue","DM-CASA","Alimentação","5214","Expense Account",0,"Expense"
"Restaurantes","DM-CASA","Alimentação","5215","Expense Account",0,"Expense"
"Lanches e Fast Food","DM-CASA","Alimentação","5216","Expense Account",0,"Expense"
"Delivery","DM-CASA","Alimentação","5217","Expense Account",0,"Expense"
"Bebidas","DM-CASA","Alimentação","5218","Expense Account",0,"Expense"
"Combustível","DM-CASA","Transporte Variável","5221","Expense Account",0,"Expense"
"Manutenção do Veículo","DM-CASA","Transporte Variável","5222","Expense Account",0,"Expense"
"Lavagem do Veículo","DM-CASA","Transporte Variável","5223","Expense Account",0,"Expense"
"Estacionamento Eventual","DM-CASA","Transporte Variável","5224","Expense Account",0,"Expense"
"Pedágios","DM-CASA","Transporte Variável","5225","Expense Account",0,"Expense"
"Transporte Público","DM-CASA","Transporte Variável","5226","Expense Account",0,"Expense"
"Táxi e Uber","DM-CASA","Transporte Variável","5227","Expense Account",0,"Expense"
"Medicamentos","DM-CASA","Saúde","5231","Expense Account",0,"Expense"
"Consultas Médicas","DM-CASA","Saúde","5232","Expense Account",0,"Expense"
"Exames","DM-CASA","Saúde","5233","Expense Account",0,"Expense"
"Dentista","DM-CASA","Saúde","5234","Expense Account",0,"Expense"
"Terapias","DM-CASA","Saúde","5235","Expense Account",0,"Expense"
"Óculos e Lentes","DM-CASA","Saúde","5236","Expense Account",0,"Expense"
"Academia","DM-CASA","Saúde","5237","Expense Account",0,"Expense"
"Mensalidade Escolar","DM-CASA","Educação","5241","Expense Account",0,"Expense"
"Curso de Idiomas","DM-CASA","Educação","5242","Expense Account",0,"Expense"
"Cursos Profissionalizantes","DM-CASA","Educação","5243","Expense Account",0,"Expense"
"Livros e Material Escolar","DM-CASA","Educação","5244","Expense Account",0,"Expense"
"Material Didático","DM-CASA","Educação","5245","Expense Account",0,"Expense"
"Uniformes","DM-CASA","Educação","5246","Expense Account",0,"Expense"
"Roupas","DM-CASA","Vestuário","5251","Expense Account",0,"Expense"
"Calçados","DM-CASA","Vestuário","5252","Expense Account",0,"Expense"
"Acessórios","DM-CASA","Vestuário","5253","Expense Account",0,"Expense"
"Costura e Reparos","DM-CASA","Vestuário","5254","Expense Account",0,"Expense"
"Salão de Beleza","DM-CASA","Cuidados Pessoais","5261","Expense Account",0,"Expense"
"Barbearia","DM-CASA","Cuidados Pessoais","5262","Expense Account",0,"Expense"
"Produtos de Higiene","DM-CASA","Cuidados Pessoais","5263","Expense Account",0,"Expense"
